name,sellingDate,size,resellPrice
"Monday, October 16, 2017",$625,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$700,adidas Yeezy Boost 350 V2 Zebra,5
"Monday, October 16, 2017",$615,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$597,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$575,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$665,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$614,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$645,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$625,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$689,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$825,adidas Yeezy Boost 350 V2 Zebra,6.5
"Monday, October 16, 2017",$644,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$645,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$619,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$579,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$746,adidas Yeezy Boost 350 V2 Zebra,17
"Monday, October 16, 2017",$575,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$675,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$505,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$505,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,7
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,6.5
"Monday, October 16, 2017",$650,adidas Yeezy Boost 350 V2 Zebra,7
"Monday, October 16, 2017",$598,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$691,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$675,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$726,adidas Yeezy Boost 350 V2 Zebra,12.5
"Monday, October 16, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$721,adidas Yeezy Boost 350 V2 Zebra,6
"Monday, October 16, 2017",$530,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$608,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$702,adidas Yeezy Boost 350 V2 Zebra,6
"Monday, October 16, 2017",$606,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$573,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$681,adidas Yeezy Boost 350 V2 Zebra,4.5
"Monday, October 16, 2017",$745,adidas Yeezy Boost 350 V2 Zebra,4
"Monday, October 16, 2017",$766,adidas Yeezy Boost 350 V2 Zebra,4
"Monday, October 16, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,10
"Sunday, October 15, 2017",$650,adidas Yeezy Boost 350 V2 Zebra,10.5
"Sunday, October 15, 2017",$900,adidas Yeezy Boost 350 V2 Zebra,12.5
"Sunday, October 15, 2017",$720,adidas Yeezy Boost 350 V2 Zebra,14
"Sunday, October 15, 2017",$900,adidas Yeezy Boost 350 V2 Zebra,12.5
"Sunday, October 15, 2017",$597,adidas Yeezy Boost 350 V2 Zebra,10
"Sunday, October 15, 2017",$575,adidas Yeezy Boost 350 V2 Zebra,9
"Sunday, October 15, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,10.5
"Sunday, October 15, 2017",$945,adidas Yeezy Boost 350 V2 Zebra,5.5
