"","name","size","resellPrice","sellDate","day","date","sellMonth"
"175","adidas Yeezy Boost 350 V2 Zebra",11.5,665,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"176","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"177","adidas Yeezy Boost 350 V2 Zebra",4,579,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"178","adidas Yeezy Boost 350 V2 Zebra",9,542,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"179","adidas Yeezy Boost 350 V2 Zebra",13,628,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"180","adidas Yeezy Boost 350 V2 Zebra",8,520,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"181","adidas Yeezy Boost 350 V2 Zebra",12,628,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"182","adidas Yeezy Boost 350 V2 Zebra",8.5,550,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"183","adidas Yeezy Boost 350 V2 Zebra",9.5,565,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"184","adidas Yeezy Boost 350 V2 Zebra",11.5,605,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"185","adidas Yeezy Boost 350 V2 Zebra",12,625,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"186","adidas Yeezy Boost 350 V2 Zebra",9.5,560,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"187","adidas Yeezy Boost 350 V2 Zebra",5,736,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"188","adidas Yeezy Boost 350 V2 Zebra",8.5,565,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"189","adidas Yeezy Boost 350 V2 Zebra",10.5,591,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"190","adidas Yeezy Boost 350 V2 Zebra",11,675,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"191","adidas Yeezy Boost 350 V2 Zebra",10,647,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"192","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"193","adidas Yeezy Boost 350 V2 Zebra",10,640,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"194","adidas Yeezy Boost 350 V2 Zebra",13,683,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"195","adidas Yeezy Boost 350 V2 Zebra",11.5,638,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"196","adidas Yeezy Boost 350 V2 Zebra",12,602,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"197","adidas Yeezy Boost 350 V2 Zebra",9.5,590,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"198","adidas Yeezy Boost 350 V2 Zebra",14,566,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"199","adidas Yeezy Boost 350 V2 Zebra",10.5,577,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"200","adidas Yeezy Boost 350 V2 Zebra",10.5,591,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"201","adidas Yeezy Boost 350 V2 Zebra",13,645,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"202","adidas Yeezy Boost 350 V2 Zebra",9,565,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"203","adidas Yeezy Boost 350 V2 Zebra",5.5,723,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"204","adidas Yeezy Boost 350 V2 Zebra",9.5,625,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"205","adidas Yeezy Boost 350 V2 Zebra",10,635,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
