"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"86","adidas Yeezy Boost 350 V2 Zebra",8,515,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.34090909090909
"87","adidas Yeezy Boost 350 V2 Zebra",4,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.59090909090909
"88","adidas Yeezy Boost 350 V2 Zebra",10.5,588,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.67272727272727
"89","adidas Yeezy Boost 350 V2 Zebra",13,650,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.95454545454545
"90","adidas Yeezy Boost 350 V2 Zebra",10.5,599,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72272727272727
"91","adidas Yeezy Boost 350 V2 Zebra",9.5,598,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.71818181818182
"92","adidas Yeezy Boost 350 V2 Zebra",11,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.59090909090909
"93","adidas Yeezy Boost 350 V2 Zebra",13,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.86363636363636
"94","adidas Yeezy Boost 350 V2 Zebra",10.5,605,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.75
"95","adidas Yeezy Boost 350 V2 Zebra",9,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
"96","adidas Yeezy Boost 350 V2 Zebra",11,661,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.00454545454545
"97","adidas Yeezy Boost 350 V2 Zebra",12,625,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.84090909090909
"98","adidas Yeezy Boost 350 V2 Zebra",12,605,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.75
"99","adidas Yeezy Boost 350 V2 Zebra",11,677,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.07727272727273
"100","adidas Yeezy Boost 350 V2 Zebra",12,660,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2
"101","adidas Yeezy Boost 350 V2 Zebra",10.5,635,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.88636363636364
"102","adidas Yeezy Boost 350 V2 Zebra",5,705,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.20454545454545
"103","adidas Yeezy Boost 350 V2 Zebra",11,646,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.93636363636364
"104","adidas Yeezy Boost 350 V2 Zebra",10,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
